46343 f[1,1,5] 35.070501684360565
46344 f[1,2,0] 318.8558280295796
46345 f[1,2,0.2] 359.4462306989271
46346 f[1,2,1] 362.60888868626114
46347 f[1,2,1.2] 370.7928070748521
46348 f[1,2,2] 379.2400525418573
46349 f[1,2,2.2] 382.6957308880017
46350 f[1,2,3] 377.7133418865615
46351 f[1,2,3.2] 366.6936882875983
46352 f[1,2,4] 349.7080421810281
46353 f[1,2,4.2] 328.9761538313845
46354 f[1,2,5] 230.97123659033505
46355 f[1,3,0] 0
46356 f[1,3,0.2] 0
46357 f[1,3,1] 0
46358 f[1,3,1.2] 0
46359 f[1,3,2] 0
46360 f[1,3,2.2] 0
46361 f[1,3,3] 0
46362 f[1,3,3.2] 0
46363 f[1,3,4] 0
46364 f[1,3,4.2] 0
46365 f[1,3,5] 0
46366 f[1,4,0] 0
46367 f[1,4,0.2] 0
46368 f[1,4,1] 0
46369 f[1,4,1.2] 0
46370 f[1,4,2] 0
46371 f[1,4,2.2] 0
46372 f[1,4,3] 0
46373 f[1,4,3.2] 0
46374 f[1,4,4] 0
46375 f[1,4,4.2] 0
46376 f[1,4,5] 0
46377 f[2,1,6] 12.304267118604516
46378 f[2,2,6] -11.93951940324254
46379 f[2,3,6] 0
46380 f[2,4,6] 0
